Scientific_Name,ID,Code,CA_ID,CodeNum,Generic,Subsp,Western,California,Gymno,In.FFE,Bark.Thickness.25.4,Bark.Thickness.Source,Wood.density,Wood.density.Source,Decay.class,Decay.class.Source,Leaf.longevity,Leaf.longevity.Source,Leaf.area,Leaf.area.Source,Leaf.CN,Leaf.CN.Source,Leaf.length,Leaf.length.Source,Leaf.lifespan,Leaf.lifespan.Source,Leaf.N,Leaf.N.Source,Leaf.NP,Leaf.NP.Source,Leaf.thickness,Leaf.thickness.Source,Leaf.width,Leaf.width.Source,Plant.height,Plant.height.Source,Plant.lifespan,Plant.lifespan.Source,Seed.dry.mass,Seed.dry.mass.Source,SLA,SLA.Source,SSD,SSD.Source,Stem.diameter,Stem.diameter.Source,Serotiny,Serotiny.Source,Self.pruning,Self.pruning.Source,Flame_duration,Flame_duration.Source,Flame_ht,Flame_ht.Source,Pct_consumed,Pct_consumed.Source,Smolder_duration,Smolder_duration.Source
Acer_rubrum,83,Ace_Rub,NA,316,0,0.0,0,0,0,1,0.7111999999999999,FVS FFE,30.6,FVS FFE,4.0,FVS FFE,1.0,FVS FFE,4001.23077,TRY,24.7,TRY,78.05833,TRY,5.35,TRY,14.982603,TRY,12.681499,TRY,0.1861538,TRY,7.756875,TRY,14.057692,TRY,150.0,TRY,19.8,TRY,20.074051,TRY,0.55,TRY,0.28384496,TRY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acer_saccharinum,84,Ace_Sac2,NA,317,0,0.0,0,0,0,1,0.7874,FVS FFE,27.4,FVS FFE,4.0,FVS FFE,1.0,FVS FFE,NA,NA,NA,NA,NA,NA,NA,NA,23.66667,TRY,7.1,TRY,NA,NA,10.5,TRY,33.190909,TRY,128.33333,TRY,253.0,TRY,25.405742,TRY,0.51,TRY,0.9,TRY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acer_saccharum,85,Ace_Sac3,NA,318,0,0.0,0,0,0,1,0.8382,FVS FFE,34.9,FVS FFE,4.0,FVS FFE,1.0,FVS FFE,4160.3622,TRY,27.85,TRY,72.86415,TRY,5.5,TRY,16.107292,TRY,9.453125,TRY,0.0975,TRY,8.5406636,TRY,22.879368,TRY,360.0,TRY,80.5,TRY,22.625246,TRY,0.68,TRY,0.50508638,TRY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acer_spicatum,230,Ace_Spi,NA,319,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acer_spp.,86,Ace_Spp,NA,310,1,NA,NA,NA,0,1,NA,NA,30.6,FVS FFE,4.0,FVS FFE,1.0,FVS FFE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aesculus_californica,87,Aes_Cal,NA,333,0,0.0,1,1,0,1,0.9143999999999999,FVS FFE,37.4,FVS FFE,4.0,FVS FFE,1.0,FVS FFE,1947.0,TRY,NA,NA,NA,NA,NA,NA,20.5,TRY,NA,NA,NA,NA,NA,NA,9.466667,TRY,NA,NA,35700.0,TRY,16.096,TRY,0.48,TRY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aesculus_flava,231,Aes_Fla,NA,332,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aesculus_glabra,88,Aes_Gla,NA,331,0,0.0,0,0,0,1,0.9143999999999999,FVS FFE,20.6,FVS FFE,4.0,FVS FFE,1.0,FVS FFE,NA,NA,NA,NA,NA,NA,NA,NA,20.8,TRY,7.428571,TRY,NA,NA,NA,NA,23.072727,TRY,NA,NA,8070.0,TRY,NA,NA,NA,NA,0.6,TRY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aesculus_octandra,89,Aes_Oct,NA,NA,0,0.0,0,0,0,1,1.27,FVS FFE,28.7,FVS FFE,4.0,FVS FFE,1.0,FVS FFE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.35,TRY,NA,NA,15900.0,TRY,NA,NA,0.38,TRY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aesculus_spp.,90,Aes_Spp,NA,330,1,NA,NA,NA,0,1,0.9143999999999999,FVS FFE,31.8,FVS FFE,4.0,FVS FFE,1.0,FVS FFE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
