ID,Code,Scientific_Name,Serotiny,Serotiny.Source,Self.pruning,Self.pruning.Source
203,Que_Shu,Quercus_shumardii,NA,NA,NA,NA
204,Que_Spp,Quercus_spp.,NA,NA,NA,NA
205,Que_Ste,Quercus_stellata,NA,NA,NA,NA
206,Que_Vel,Quercus_velutina,NA,NA,NA,NA
207,Que_Vir,Quercus_virginiana,NA,NA,NA,NA
208,Que_Wis,Quercus_wislizenii,NA,NA,NA,NA
209,Rob_Pse,Robinia_pseudoacacia,NA,NA,NA,NA
210,Sal_Eri,Salix_eriocephala,NA,NA,NA,NA
211,Sal_Nig,Salix_nigra,NA,NA,NA,NA
212,Sal_Spp,Salix_spp.,NA,NA,NA,NA
213,Sas_Alb,Sassafras_albidum,NA,NA,NA,NA
214,Sor_Ame,Sorbus_americana,NA,NA,NA,NA
215,Til_Ame,Tilia_americana,NA,NA,NA,NA
216,Til_Het,Tilia_heterophylla,NA,NA,NA,NA
217,Til_Spp,Tilia_spp.,NA,NA,NA,NA
218,Ulm_Ala,Ulmus_alata,NA,NA,NA,NA
219,Ulm_Ame,Ulmus_americana,NA,NA,NA,NA
220,Ulm_Pum,Ulmus_pumilia,NA,NA,NA,NA
221,Ulm_Rub,Ulmus_rubra,NA,NA,NA,NA
222,Ulm_Spp,Ulmus_spp.,NA,NA,NA,NA
223,Ulm_Tho,Ulmus_thomasii,NA,NA,NA,NA
224,Umb_Cal,Umbellularia_californica,NA,NA,NA,NA
225,Abi_Fra,Abies_fraseri,NA,NA,NA,NA
226,Abi_Sha,Abies_shastensis,NA,NA,NA,NA
227,Aca_Far,Acacia_farnesiana,NA,NA,NA,NA
228,Ace_Leu,Acer_leucoderme,NA,NA,NA,NA
229,Ace_Pla,Acer_platanoides,NA,NA,NA,NA
230,Ace_Spi,Acer_spicatum,NA,NA,NA,NA
231,Aes_Fla,Aesculus_flava,NA,NA,NA,NA
232,Aes_Syl,Aesculus_sylvatica,NA,NA,NA,NA
233,Alb_Jul,Albizia_julibrissin,NA,NA,NA,NA
234,Aln_Glu,Alnus_glutinosa,NA,NA,NA,NA
235,Aln_Spp,Alnus_spp.,NA,NA,NA,NA
236,Ame_Arb,Amelanchier_arborea,NA,NA,NA,NA
237,Ame_San,Amelanchier_sanguinea,NA,NA,NA,NA
238,Ann_Gla,Annona_glabra,NA,NA,NA,NA
239,Arb_Xal,Arbutus_xalapensis,NA,NA,NA,NA
240,Asi_Tri,Asimina_triloba,NA,NA,NA,NA
241,Avi_Ger,Avicennia_germinans,NA,NA,NA,NA
242,Bur_Sim,Bursera_simaruba,NA,NA,NA,NA
243,Car_Myr,Carya_myristiciformis,NA,NA,NA,NA
244,Car_Pal,Carya_pallida,NA,NA,NA,NA
245,Cas_Lep,Casuarina_lepidophloia,NA,NA,NA,NA
246,Cas_Mol,Castanea_mollissima,NA,NA,NA,NA
247,Cas_Pum,Castanea_pumila,NA,NA,NA,NA
248,Cas_Spp,Castanea_spp.,NA,NA,NA,NA
249,Cat_Big,Catalpa_bignonioides,NA,NA,NA,NA
250,Cat_Spe,Catalpa_speciosa,NA,NA,NA,NA
251,Cin_Cam,Cinnamomum_camphora,NA,NA,NA,NA
252,Cit_Spp,Citrus_spp.,NA,NA,NA,NA
253,Cla_Ken,Cladrastis_kentukea,NA,NA,NA,NA
