ID,Code,Scientific_Name,Leaf.area,Leaf.area.Source,Leaf.CN,Leaf.CN.Source,Leaf.length,Leaf.length.Source,Leaf.lifespan,Leaf.lifespan.Source,Leaf.N,Leaf.N.Source,Leaf.NP,Leaf.NP.Source,Leaf.thickness,Leaf.thickness.Source,Leaf.width,Leaf.width.Source,Plant.height,Plant.height.Source,Plant.lifespan,Plant.lifespan.Source,Seed.dry.mass,Seed.dry.mass.Source,SLA,SLA.Source,SSD,SSD.Source,Stem.diameter,Stem.diameter.Source
50,Pin_Pon_bra,Pinus_ponderosa_brachyptera,178.85,TRY,NA,NA,116.725,TRY,NA,NA,NA,NA,NA,NA,1.3738095,TRY,0.28144,TRY,41.229048,TRY,520.83333,TRY,40.4,TRY,5.556796,TRY,0.42,TRY,0.9096908,TRY
51,Pin_Pon_cri,Pinus_ponderosa_critchfieldiana,178.85,TRY,NA,NA,116.725,TRY,NA,NA,NA,NA,NA,NA,1.3738095,TRY,0.28144,TRY,41.229048,TRY,520.83333,TRY,40.4,TRY,5.556796,TRY,0.42,TRY,0.9096908,TRY
52,Pin_Pon_pon,Pinus_ponderosa_ponderosa,178.85,TRY,NA,NA,116.725,TRY,NA,NA,NA,NA,NA,NA,1.3738095,TRY,0.28144,TRY,41.229048,TRY,520.83333,TRY,40.4,TRY,5.556796,TRY,0.42,TRY,0.9096908,TRY
53,Pin_Pon_sco,Pinus_ponderosa_scopulorum,178.85,TRY,NA,NA,116.725,TRY,NA,NA,NA,NA,NA,NA,1.3738095,TRY,0.28144,TRY,41.229048,TRY,520.83333,TRY,40.4,TRY,5.556796,TRY,0.42,TRY,0.9096908,TRY
54,Pin_Pun,Pinus_pungens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.125,TRY,17.109091,TRY,250,TRY,13.3,TRY,NA,NA,0.55,TRY,0.425,TRY
55,Pin_Rad,Pinus_radiata,NA,NA,NA,NA,NA,NA,NA,NA,13.527087,TRY,5.793911,TRY,NA,NA,0.17,TRY,26.705882,TRY,106.66667,TRY,42.2,TRY,7.075289,TRY,0.41,TRY,0.6,TRY
56,Pin_Res,Pinus_resinosa,NA,NA,43.5,TRY,NA,NA,36,TRY,11.268723,TRY,8.669283,TRY,NA,NA,NA,NA,29.714286,TRY,335.66667,TRY,9.84,TRY,4.094002,TRY,0.51,TRY,1,TRY
57,Pin_Rig,Pinus_rigida,NA,NA,NA,NA,NA,NA,33,TRY,9.82,TRY,18.584071,TRY,NA,NA,0.1625,TRY,21.714286,TRY,275,TRY,7.68,TRY,4.89,TRY,0.52,TRY,0.85,TRY
58,Pin_Sab,Pinus_sabiniana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15,TRY,22.584615,TRY,200,TRY,478,TRY,NA,NA,NA,NA,1.05,TRY
59,Pin_Ser,Pinus_serotina,NA,NA,NA,NA,NA,NA,27,TRY,8.2,TRY,NA,NA,NA,NA,0.16,TRY,21.857143,TRY,NA,NA,8.37,TRY,3.59,TRY,0.58,TRY,0.6,TRY
60,Pin_Spp,Pinus_spp.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,Pin_Str,Pinus_strobus,NA,NA,26.1,TRY,NA,NA,21,TRY,16.133334,TRY,7.073171,TRY,NA,NA,1.174,TRY,45.281081,TRY,322.72727,TRY,16.4,TRY,6.867957,TRY,0.37,TRY,1.35,TRY
62,Pin_Syl,Pinus_sylvestris,76.4139,TRY,32.05016,TRY,NA,NA,30,TRY,11.334464,TRY,12.827173,TRY,2.2253846,TRY,0.175,TRY,12.759543,TRY,490.83333,TRY,8.66,TRY,4.726488,TRY,0.4045158,TRY,0.04968858,TRY
63,Pin_Tae,Pinus_taeda,140.49976,TRY,42,TRY,95.88575,TRY,NA,NA,9.218158,TRY,12,TRY,0.369,TRY,0.1065696,TRY,17.104681,TRY,242.5,TRY,26.3,TRY,9.150222,TRY,0.54,TRY,0.19268571,TRY
64,Pin_Vir,Pinus_virginiana,52.5177,TRY,NA,NA,54.55335,TRY,NA,NA,NA,NA,NA,NA,0.54875,TRY,0.1109087,TRY,24.125,TRY,150,TRY,7.68,TRY,4.59073,TRY,0.52,TRY,0.43333333,TRY
65,Pse_Men,Pseudotsuga_menziesii,28.1,TRY,45,TRY,21.9165,TRY,NA,NA,13.333182,TRY,3.299177,TRY,0.5075,TRY,0.2107917,TRY,54.256194,TRY,763.33333,TRY,13.8,TRY,11.253217,TRY,0.4433333,TRY,1.32337864,TRY
66,Seq_Gig,Sequoiadendron_giganteum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.578947,TRY,2575,TRY,5,TRY,NA,NA,NA,NA,11,TRY
67,Seq_Sem,Sequoia_sempervirens,24,TRY,NA,NA,NA,NA,NA,NA,12.3,TRY,NA,NA,NA,NA,NA,NA,95.165217,TRY,1728.57143,TRY,3.84,TRY,11.018,TRY,0.46,TRY,5.53333333,TRY
68,Tax_Bre,Taxus_brevifolia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,TRY,14,TRY,300,TRY,30.1,TRY,15.574,TRY,0.67,TRY,0.9,TRY
69,Tax_Dis,Taxodium_distichum,NA,NA,NA,NA,NA,NA,6.5,TRY,11.9,TRY,NA,NA,NA,NA,NA,NA,36.5,TRY,862.5,TRY,92.3,TRY,7.8,TRY,0.49,TRY,4.36666667,TRY
70,Thu_Occ,Thuja_occidentalis,NA,NA,48.6,TRY,NA,NA,48,TRY,9.014286,TRY,8.333333,TRY,NA,NA,NA,NA,19.927273,TRY,606.4,TRY,1.15,TRY,4.485722,TRY,0.32,TRY,1.14,TRY
71,Thu_Pli,Thuja_plicata,NA,NA,NA,NA,NA,NA,NA,NA,8.6,TRY,12.2,TRY,NA,NA,NA,NA,51.191667,TRY,960,TRY,1.33,TRY,507.4675,TRY,0.34,TRY,2.63333333,TRY
72,Tor_Cal,Torreya_californica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.094118,TRY,175,TRY,3630,TRY,NA,NA,NA,NA,0.75,TRY
73,Tsu_Can,Tsuga_canadensis,NA,NA,NA,NA,NA,NA,60,TRY,10.2,TRY,NA,NA,NA,NA,1.75,TRY,29.948148,TRY,837.6,TRY,8.72,TRY,10.981571,TRY,0.43,TRY,1.1,TRY
74,Tsu_Het,Tsuga_heterophylla,NA,NA,NA,NA,NA,NA,NA,NA,11.22,TRY,12.333333,TRY,NA,NA,NA,NA,48.126984,TRY,541.66667,TRY,2.15,TRY,136.977338,TRY,0.44,TRY,1.36666667,TRY
75,Tsu_Mer,Tsuga_mertensiana,NA,NA,41.6,TRY,NA,NA,NA,NA,11.3,TRY,NA,NA,NA,NA,NA,NA,25,TRY,NA,NA,NA,NA,4.32,TRY,0.51,TRY,0.9,TRY
76,Tsu_Spp,Tsuga_spp.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,Ace_Bar,Acer_barbatum,3382.54167,TRY,NA,NA,70.28333,TRY,NA,NA,NA,NA,NA,NA,NA,NA,8.7341667,TRY,13.15,TRY,NA,NA,NA,NA,25.804058,TRY,NA,NA,NA,NA
78,Ace_Gla,Acer_glabrum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.5,TRY,9.133333,TRY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,Ace_Mac,Acer_macrophyllum,14953,TRY,NA,NA,NA,NA,NA,NA,26.4,TRY,NA,NA,NA,NA,25,TRY,23.407692,TRY,200,TRY,134,TRY,29.548,TRY,0.47,TRY,NA,NA
80,Ace_Neg,Acer_negundo,9437.8125,TRY,NA,NA,173.8,TRY,NA,NA,29.5,TRY,NA,NA,NA,NA,17.33,TRY,10.576923,TRY,87,TRY,38.6,TRY,25.026293,TRY,0.5205,TRY,0.60666667,TRY
81,Ace_Nig,Acer_nigrum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.5,TRY,26.666667,TRY,200,TRY,86.4,TRY,NA,NA,0.62,TRY,NA,NA
82,Ace_Pen,Acer_pensylvanicum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,TRY,10.07625,TRY,100,TRY,38.9,TRY,35.540898,TRY,0.44,TRY,0.2,TRY
83,Ace_Rub,Acer_rubrum,4001.23077,TRY,24.7,TRY,78.05833,TRY,5.35,TRY,14.982603,TRY,12.681499,TRY,0.1861538,TRY,7.756875,TRY,14.057692,TRY,150,TRY,19.8,TRY,20.074051,TRY,0.55,TRY,0.28384496,TRY
84,Ace_Sac2,Acer_saccharinum,NA,NA,NA,NA,NA,NA,NA,NA,23.66667,TRY,7.1,TRY,NA,NA,10.5,TRY,33.190909,TRY,128.33333,TRY,253,TRY,25.405742,TRY,0.51,TRY,0.9,TRY
85,Ace_Sac3,Acer_saccharum,4160.3622,TRY,27.85,TRY,72.86415,TRY,5.5,TRY,16.107292,TRY,9.453125,TRY,0.0975,TRY,8.5406636,TRY,22.879368,TRY,360,TRY,80.5,TRY,22.625246,TRY,0.68,TRY,0.50508638,TRY
86,Ace_Spp,Acer_spp.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,Aes_Cal,Aesculus_californica,1947,TRY,NA,NA,NA,NA,NA,NA,20.5,TRY,NA,NA,NA,NA,NA,NA,9.466667,TRY,NA,NA,35700,TRY,16.096,TRY,0.48,TRY,NA,NA
88,Aes_Gla,Aesculus_glabra,NA,NA,NA,NA,NA,NA,NA,NA,20.8,TRY,7.428571,TRY,NA,NA,NA,NA,23.072727,TRY,NA,NA,8070,TRY,NA,NA,NA,NA,0.6,TRY
89,Aes_Oct,Aesculus_octandra,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.35,TRY,NA,NA,15900,TRY,NA,NA,0.38,TRY,NA,NA
90,Aes_Spp,Aesculus_spp.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,Ail_Alt,Ailanthus_altissima,31623,TRY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.318182,TRY,41.66667,TRY,32.2,TRY,17.78,TRY,0.5320313,TRY,0.9,TRY
92,Aln_Rho,Alnus_rhombifolia,3199,TRY,NA,NA,NA,NA,NA,NA,33.6,TRY,NA,NA,NA,NA,3.5,TRY,24.01,TRY,NA,NA,0.51,TRY,19.548,TRY,0.52,TRY,NA,NA
93,Aln_Rub,Alnus_rubra,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,TRY,32.1,TRY,100,TRY,0.853,TRY,NA,NA,0.43,TRY,NA,NA
94,Ame_Spp,Amelanchier_spp.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,Arb_Men,Arbutus_menziesii,4927,TRY,53.3,TRY,NA,NA,NA,NA,10.106667,TRY,NA,NA,NA,NA,NA,NA,20.770588,TRY,375,TRY,246,TRY,6.855769,TRY,0.57,TRY,1.21,TRY
96,Bet_All,Betula_alleghaniensis,NA,NA,NA,NA,NA,NA,NA,NA,17.628571,TRY,13.529412,TRY,NA,NA,4.25,TRY,20.307429,TRY,283.2,TRY,5.52,TRY,26.949879,TRY,0.66,TRY,NA,NA
97,Bet_Len,Betula_lenta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,TRY,23.333333,TRY,265,TRY,0.858,TRY,20.87,TRY,0.71,TRY,NA,NA
98,Bet_Nig,Betula_nigra,1738.8323,TRY,21.9,TRY,56.9067,TRY,5.2,TRY,22.8,TRY,NA,NA,0.14025,TRY,3.9212455,TRY,24.092308,TRY,NA,NA,1.1,TRY,11.660296,TRY,0.51,TRY,NA,NA
99,Bet_Occ,Betula_occidentalis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.75,TRY,10,TRY,NA,NA,NA,NA,16.156406,TRY,NA,NA,NA,NA
100,Bet_Pap,Betula_papyrifera,4548.81286,TRY,28.7,TRY,NA,NA,3.6,TRY,20.009629,TRY,11.649896,TRY,NA,NA,5.7,TRY,7.515154,TRY,176.25,TRY,0.317,TRY,20.672091,TRY,0.6,TRY,0.02034788,TRY
101,Bet_Pop,Betula_populifolia,NA,NA,NA,NA,NA,NA,NA,NA,15.96,TRY,12.666667,TRY,NA,NA,5.5,TRY,6.177211,TRY,NA,NA,0.11,TRY,29.302,TRY,0.55,TRY,NA,NA
102,Bet_Spp,Betula_spp.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,Car_Alb,Carya_alba,NA,NA,NA,NA,NA,NA,NA,NA,11.55,TRY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,Car_Aqu,Carya_aquatica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.666667,TRY,NA,NA,2270,TRY,NA,NA,0.63,TRY,NA,NA
105,Car_Car,Carpinus_caroliniana,1299.54167,TRY,NA,NA,66.07778,TRY,NA,NA,NA,NA,NA,NA,NA,NA,3.0865,TRY,8.134694,TRY,NA,NA,16.3,TRY,28.25473,TRY,0.72,TRY,NA,NA
106,Car_Cor,Carya_cordiformis,NA,NA,NA,NA,NA,NA,NA,NA,9,TRY,9,TRY,NA,NA,NA,NA,28.727273,TRY,200,TRY,3.00E+03,TRY,31.959908,TRY,0.67,TRY,NA,NA
107,Car_Gla,Carya_glabra,22300.33333,TRY,33.1,TRY,270,TRY,NA,NA,16.033333,TRY,NA,NA,NA,NA,30.4857143,TRY,17.888889,TRY,300,TRY,2470,TRY,15.277278,TRY,0.76,TRY,NA,NA
