ID,Code,Scientific_Name,In.FFE,Bark.Thickness.25.4,Bark.Thickness.Source,Wood.density,Wood.density.Source,Decay.class,Decay.class.Source,Leaf.longevity,Leaf.longevity.Source
207,Que_Vir,Quercus_virginiana,1,1.0921999999999998,FVS FFE,49.9,FVS FFE,2.0,FVS FFE,1.0,FVS FFE
208,Que_Wis,Quercus_wislizenii,1,0.8636,FVS FFE,49.9,FVS FFE,2.0,FVS FFE,NA,NA
209,Rob_Pse,Robinia_pseudoacacia,1,1.2446,FVS FFE,41.2,FVS FFE,1.0,FVS FFE,1.0,FVS FFE
210,Sal_Eri,Salix_eriocephala,1,NA,NA,22.5,FVS FFE,4.0,FVS FFE,1.0,FVS FFE
211,Sal_Nig,Salix_nigra,1,1.016,FVS FFE,22.5,FVS FFE,4.0,FVS FFE,1.0,FVS FFE
212,Sal_Spp,Salix_spp.,1,1.0287,FVS FFE,22.5,FVS FFE,4.0,FVS FFE,1.0,FVS FFE
213,Sas_Alb,Sassafras_albidum,1,0.889,FVS FFE,26.2,FVS FFE,2.0,FVS FFE,1.0,FVS FFE
214,Sor_Ame,Sorbus_americana,1,0.9905999999999999,FVS FFE,20.0,FVS FFE,4.0,FVS FFE,1.0,FVS FFE
215,Til_Ame,Tilia_americana,1,0.9905999999999999,FVS FFE,20.0,FVS FFE,4.0,FVS FFE,1.0,FVS FFE
216,Til_Het,Tilia_heterophylla,1,1.27,FVS FFE,20.0,FVS FFE,4.0,FVS FFE,1.0,FVS FFE
217,Til_Spp,Tilia_spp.,1,0.9652,FVS FFE,20.0,FVS FFE,4.0,FVS FFE,1.0,FVS FFE
218,Ulm_Ala,Ulmus_alata,1,0.7874,FVS FFE,33.05,FVS FFE,4.0,FVS FFE,1.0,FVS FFE
219,Ulm_Ame,Ulmus_americana,1,0.7874,FVS FFE,28.7,FVS FFE,4.0,FVS FFE,1.0,FVS FFE
220,Ulm_Pum,Ulmus_pumilia,1,0.9652,FVS FFE,28.7,FVS FFE,4.0,FVS FFE,1.0,FVS FFE
221,Ulm_Rub,Ulmus_rubra,1,0.8128,FVS FFE,29.9,FVS FFE,4.0,FVS FFE,1.0,FVS FFE
222,Ulm_Spp,Ulmus_spp.,1,0.9905999999999999,FVS FFE,28.7,FVS FFE,4.0,FVS FFE,1.0,FVS FFE
223,Ulm_Tho,Ulmus_thomasii,1,0.8382,FVS FFE,35.6,FVS FFE,4.0,FVS FFE,1.0,FVS FFE
224,Umb_Cal,Umbellularia_californica,1,0.6604,FVS FFE,36.2,FVS FFE,2.0,FVS FFE,1.0,FVS FFE
225,Abi_Fra,Abies_fraseri,0,NA,NA,NA,NA,NA,NA,NA,NA
226,Abi_Sha,Abies_shastensis,0,NA,NA,NA,NA,NA,NA,NA,NA
227,Aca_Far,Acacia_farnesiana,0,NA,NA,NA,NA,NA,NA,NA,NA
228,Ace_Leu,Acer_leucoderme,0,NA,NA,NA,NA,NA,NA,NA,NA
229,Ace_Pla,Acer_platanoides,0,NA,NA,NA,NA,NA,NA,NA,NA
230,Ace_Spi,Acer_spicatum,0,NA,NA,NA,NA,NA,NA,NA,NA
231,Aes_Fla,Aesculus_flava,0,NA,NA,NA,NA,NA,NA,NA,NA
232,Aes_Syl,Aesculus_sylvatica,0,NA,NA,NA,NA,NA,NA,NA,NA
233,Alb_Jul,Albizia_julibrissin,0,NA,NA,NA,NA,NA,NA,NA,NA
234,Aln_Glu,Alnus_glutinosa,0,NA,NA,NA,NA,NA,NA,NA,NA
235,Aln_Spp,Alnus_spp.,0,NA,NA,NA,NA,NA,NA,NA,NA
236,Ame_Arb,Amelanchier_arborea,0,NA,NA,NA,NA,NA,NA,NA,NA
237,Ame_San,Amelanchier_sanguinea,0,NA,NA,NA,NA,NA,NA,NA,NA
238,Ann_Gla,Annona_glabra,0,NA,NA,NA,NA,NA,NA,NA,NA
239,Arb_Xal,Arbutus_xalapensis,0,NA,NA,NA,NA,NA,NA,NA,NA
240,Asi_Tri,Asimina_triloba,0,NA,NA,NA,NA,NA,NA,NA,NA
241,Avi_Ger,Avicennia_germinans,0,NA,NA,NA,NA,NA,NA,NA,NA
242,Bur_Sim,Bursera_simaruba,0,NA,NA,NA,NA,NA,NA,NA,NA
243,Car_Myr,Carya_myristiciformis,0,NA,NA,NA,NA,NA,NA,NA,NA
244,Car_Pal,Carya_pallida,0,NA,NA,NA,NA,NA,NA,NA,NA
245,Cas_Lep,Casuarina_lepidophloia,0,NA,NA,NA,NA,NA,NA,NA,NA
246,Cas_Mol,Castanea_mollissima,0,NA,NA,NA,NA,NA,NA,NA,NA
247,Cas_Pum,Castanea_pumila,0,NA,NA,NA,NA,NA,NA,NA,NA
248,Cas_Spp,Castanea_spp.,0,NA,NA,NA,NA,NA,NA,NA,NA
249,Cat_Big,Catalpa_bignonioides,0,NA,NA,NA,NA,NA,NA,NA,NA
250,Cat_Spe,Catalpa_speciosa,0,NA,NA,NA,NA,NA,NA,NA,NA
251,Cha_Thy,Chamaecyparis_thyoides,0,NA,NA,NA,NA,NA,NA,NA,NA
252,Cin_Cam,Cinnamomum_camphora,0,NA,NA,NA,NA,NA,NA,NA,NA
253,Cit_Spp,Citrus_spp.,0,NA,NA,NA,NA,NA,NA,NA,NA
254,Cla_Ken,Cladrastis_kentukea,0,NA,NA,NA,NA,NA,NA,NA,NA
255,Con_Ere,Conocarpus_erectus,0,NA,NA,NA,NA,NA,NA,NA,NA
256,Con_Hoo,Condalia_hookeri,0,NA,NA,NA,NA,NA,NA,NA,NA
257,Cot_Obo,Cotinus_obovatus,0,NA,NA,NA,NA,NA,NA,NA,NA
258,Cra_Cru,Crataegus_crus-galli,0,NA,NA,NA,NA,NA,NA,NA,NA
259,Cra_Mol,Crataegus_mollis,0,NA,NA,NA,NA,NA,NA,NA,NA
260,Dio_Spp,Diospyros_spp.,0,NA,NA,NA,NA,NA,NA,NA,NA
261,Dio_Tex,Diospyros_texana,0,NA,NA,NA,NA,NA,NA,NA,NA
262,Dio_Vir,Diospyros_virginiana,0,NA,NA,NA,NA,NA,NA,NA,NA
263,Ehr_Ana,Ehretia_anacua,0,NA,NA,NA,NA,NA,NA,NA,NA
264,Ela_Ang,Elaeagnus_angustifolia,0,NA,NA,NA,NA,NA,NA,NA,NA
265,Euc_Gra,Eucalyptus_grandis,0,NA,NA,NA,NA,NA,NA,NA,NA
266,Euc_Spp,Eucalyptus_spp.,0,NA,NA,NA,NA,NA,NA,NA,NA
267,Eug_Rho,Eugenia_rhombea,0,NA,NA,NA,NA,NA,NA,NA,NA
268,Fic_Aur,Ficus_aurea,0,NA,NA,NA,NA,NA,NA,NA,NA
269,Fra_Car,Fraxinus_caroliniana,0,NA,NA,NA,NA,NA,NA,NA,NA
270,Fra_Tex,Fraxinus_texensis,0,NA,NA,NA,NA,NA,NA,NA,NA
271,Gin_Bil,Ginkgo_biloba,0,NA,NA,NA,NA,NA,NA,NA,NA
272,Gle_Aqu,Gleditsia_aquatica,0,NA,NA,NA,NA,NA,NA,NA,NA
273,Gle_Spp,Gleditsia_spp.,0,NA,NA,NA,NA,NA,NA,NA,NA
274,Hal_Car,Halesia_carolina,0,NA,NA,NA,NA,NA,NA,NA,NA
275,Hal_Dip,Halesia_diptera,0,NA,NA,NA,NA,NA,NA,NA,NA
276,Jug_Maj,Juglans_major,0,NA,NA,NA,NA,NA,NA,NA,NA
277,Jug_Mic,Juglans_microcarpa,0,NA,NA,NA,NA,NA,NA,NA,NA
278,Jun_Ash,Juniperus_ashei,0,NA,NA,NA,NA,NA,NA,NA,NA
279,Jun_Coa,Juniperus_coahuilensis,0,NA,NA,NA,NA,NA,NA,NA,NA
280,Jun_Dep,Juniperus_deppeana,0,NA,NA,NA,NA,NA,NA,NA,NA
281,Jun_Fla,Juniperus_flaccida,0,NA,NA,NA,NA,NA,NA,NA,NA
282,Jun_Mon,Juniperus_monosperma,0,NA,NA,NA,NA,NA,NA,NA,NA
283,Jun_Ost,Juniperus_osteosperma,0,NA,NA,NA,NA,NA,NA,NA,NA
284,Jun_Pin,Juniperus_pinchotii,0,NA,NA,NA,NA,NA,NA,NA,NA
285,Lag_Rac,Laguncularia_racemosa,0,NA,NA,NA,NA,NA,NA,NA,NA
286,Lar_Spp,Larix_spp.,0,NA,NA,NA,NA,NA,NA,NA,NA
287,Mag_Fra,Magnolia_fraseri,0,NA,NA,NA,NA,NA,NA,NA,NA
288,Mag_Tri,Magnolia_tripetala,0,NA,NA,NA,NA,NA,NA,NA,NA
289,Mal_Ang,Malus_angustifolia,0,NA,NA,NA,NA,NA,NA,NA,NA
290,Mal_Cor,Malus_coronaria,0,NA,NA,NA,NA,NA,NA,NA,NA
291,Mal_Fus,Malus_fusca,0,NA,NA,NA,NA,NA,NA,NA,NA
292,Mal_Ioe,Malus_ioensis,0,NA,NA,NA,NA,NA,NA,NA,NA
293,Mel_Aze,Melia_azedarach,0,NA,NA,NA,NA,NA,NA,NA,NA
294,Mel_Qui,Melaleuca_quinquenervia,0,NA,NA,NA,NA,NA,NA,NA,NA
295,Met_Tox,Metopium_toxiferum,0,NA,NA,NA,NA,NA,NA,NA,NA
296,Mor_Alb,Morus_alba,0,NA,NA,NA,NA,NA,NA,NA,NA
297,Mor_Mic,Morus_microphylla,0,NA,NA,NA,NA,NA,NA,NA,NA
298,Mor_Rub,Morus_rubra,0,NA,NA,NA,NA,NA,NA,NA,NA
299,Nys_Oge,Nyssa_ogeche,0,NA,NA,NA,NA,NA,NA,NA,NA
300,Per_Spp,Persea_spp.,0,NA,NA,NA,NA,NA,NA,NA,NA
301,Pic_Pun,Picea_pungens,0,NA,NA,NA,NA,NA,NA,NA,NA
302,Pin_Cem,Pinus_cembroides,0,NA,NA,NA,NA,NA,NA,NA,NA
303,Pin_Mon1,Pinus_monophylla,0,NA,NA,NA,NA,NA,NA,NA,NA
304,Pin_Nig,Pinus_nigra,0,NA,NA,NA,NA,NA,NA,NA,NA
305,Pin_Rem,Pinus_remota,0,NA,NA,NA,NA,NA,NA,NA,NA
306,Pis_Pis,Piscidia_piscipula,0,NA,NA,NA,NA,NA,NA,NA,NA
307,Pla_Aqu,Planera_aquatica,0,NA,NA,NA,NA,NA,NA,NA,NA
308,Pla_Spp,Platanus_spp.,0,NA,NA,NA,NA,NA,NA,NA,NA
309,Pop_Alb,Populus_alba,0,NA,NA,NA,NA,NA,NA,NA,NA
310,Pop_Nig,Populus_nigra,0,NA,NA,NA,NA,NA,NA,NA,NA
311,Pro_Gla,Prosopis_glandulosa,0,NA,NA,NA,NA,NA,NA,NA,NA
312,Pro_Pub,Prosopis_pubescens,0,NA,NA,NA,NA,NA,NA,NA,NA
313,Pro_Spp,Prosopis_spp.,0,NA,NA,NA,NA,NA,NA,NA,NA
314,Pru_Ame,Prunus_americana,0,NA,NA,NA,NA,NA,NA,NA,NA
315,Pru_Avi,Prunus_avium,0,NA,NA,NA,NA,NA,NA,NA,NA
316,Pru_Nig,Prunus_nigra,0,NA,NA,NA,NA,NA,NA,NA,NA
317,Pru_Per,Prunus_persica,0,NA,NA,NA,NA,NA,NA,NA,NA
318,Que_Emo,Quercus_emoryi,0,NA,NA,NA,NA,NA,NA,NA,NA
319,Que_Gam,Quercus_gambelii,0,NA,NA,NA,NA,NA,NA,NA,NA
320,Que_Gri,Quercus_grisea,0,NA,NA,NA,NA,NA,NA,NA,NA
321,Que_Hyp,Quercus_hypoleucoides,0,NA,NA,NA,NA,NA,NA,NA,NA
322,Que_Ili,Quercus_ilicifolia,0,NA,NA,NA,NA,NA,NA,NA,NA
323,Que_Inc,Quercus_incana,0,NA,NA,NA,NA,NA,NA,NA,NA
324,Que_Min,Quercus_minima,0,NA,NA,NA,NA,NA,NA,NA,NA
325,Que_Ogl,Quercus_oglethorpensis,0,NA,NA,NA,NA,NA,NA,NA,NA
326,Que_Pri,Quercus_prinus,0,NA,NA,NA,NA,NA,NA,NA,NA
327,Que_Sim,Quercus_similis,0,NA,NA,NA,NA,NA,NA,NA,NA
328,Que_Sin,Quercus_sinuata,0,NA,NA,NA,NA,NA,NA,NA,NA
329,Que_Tex,Quercus_texana,0,NA,NA,NA,NA,NA,NA,NA,NA
330,Rhi_Man,Rhizophora_mangle,0,NA,NA,NA,NA,NA,NA,NA,NA
331,Roy_Spp,Roystonea_spp.,0,NA,NA,NA,NA,NA,NA,NA,NA
332,Sab_Pal,Sabal_palmetto,0,NA,NA,NA,NA,NA,NA,NA,NA
333,Sal_Alb,Salix_alba,0,NA,NA,NA,NA,NA,NA,NA,NA
334,Sal_Amy,Salix_amygdaloides,0,NA,NA,NA,NA,NA,NA,NA,NA
335,Sal_Beb,Salix_bebbiana,0,NA,NA,NA,NA,NA,NA,NA,NA
336,Sal_Car,Salix_caroliniana,0,NA,NA,NA,NA,NA,NA,NA,NA
337,Sal_Sep,Salix_sepulcralis,0,NA,NA,NA,NA,NA,NA,NA,NA
338,Sap_Sap,Sapindus_saponaria,0,NA,NA,NA,NA,NA,NA,NA,NA
339,Sid_Lan,Sideroxylon_lanuginosum,0,NA,NA,NA,NA,NA,NA,NA,NA
340,Sor_Auc,Sorbus_aucuparia,0,NA,NA,NA,NA,NA,NA,NA,NA
341,Syz_Cum,Syzygium_cumini,0,NA,NA,NA,NA,NA,NA,NA,NA
342,Tam_Spp,Tamarix_spp.,0,NA,NA,NA,NA,NA,NA,NA,NA
343,Tax_Asc,Taxodium_ascendens,0,NA,NA,NA,NA,NA,NA,NA,NA
344,Thr_Mor,Thrinax_morrisii,0,NA,NA,NA,NA,NA,NA,NA,NA
345,Tre_Bro,Tree_broadleaf,0,NA,NA,NA,NA,NA,NA,NA,NA
346,Tre_Eve,Tree_evergreen,0,NA,NA,NA,NA,NA,NA,NA,NA
347,Tre_Unk,Tree_unknown,0,NA,NA,NA,NA,NA,NA,NA,NA
348,Tri_Seb,Triadica_sebifera,0,NA,NA,NA,NA,NA,NA,NA,NA
349,Tsu_Car,Tsuga_caroliniana,0,NA,NA,NA,NA,NA,NA,NA,NA
350,Ulm_Cra,Ulmus_crassifolia,0,NA,NA,NA,NA,NA,NA,NA,NA
351,Ulm_Ser,Ulmus_serotina,0,NA,NA,NA,NA,NA,NA,NA,NA
352,Ver_For,Vernicia_fordii,0,NA,NA,NA,NA,NA,NA,NA,NA
