ID,Code,Scientific_Name,In.FFE,Bark.Thickness.25.4,Bark.Thickness.Source,Wood.density,Wood.density.Source,Decay.class,Decay.class.Source,Leaf.longevity,Leaf.longevity.Source
60,Pin_Spp,Pinus_spp.,1,0.7619999999999999,FVS FFE,25.6,FVS FFE,4.0,FVS FFE,2.0,FVS FFE
61,Pin_Str,Pinus_strobus,1,1.1429999999999998,FVS FFE,21.2,FVS FFE,4.0,FVS FFE,2.0,FVS FFE
62,Pin_Syl,Pinus_sylvestris,1,0.7619999999999999,FVS FFE,25.6,FVS FFE,4.0,FVS FFE,3.0,FVS FFE
63,Pin_Tae,Pinus_taeda,1,1.3208,FVS FFE,29.3,FVS FFE,4.0,FVS FFE,3.0,FVS FFE
64,Pin_Vir,Pinus_virginiana,1,0.8382,FVS FFE,28.1,FVS FFE,4.0,FVS FFE,3.0,FVS FFE
65,Pse_Men,Pseudotsuga_menziesii,1,1.6001999999999998,FVS FFE,28.4,FVS FFE,3.0,FVS FFE,5.0,FVS FFE
66,Seq_Gig,Sequoiadendron_giganteum,1,2.0574,FVS FFE,21.2,FVS FFE,2.0,FVS FFE,5.0,FVS FFE
67,Seq_Sem,Sequoia_sempervirens,1,2.0574,FVS FFE,21.2,FVS FFE,2.0,FVS FFE,5.0,FVS FFE
68,Tax_Bre,Taxus_brevifolia,1,0.635,FVS FFE,26.2,FVS FFE,1.0,FVS FFE,7.0,FVS FFE
69,Tax_Dis,Taxodium_distichum,1,0.635,FVS FFE,26.2,FVS FFE,3.0,FVS FFE,1.0,FVS FFE
70,Thu_Occ,Thuja_occidentalis,1,0.635,FVS FFE,18.1,FVS FFE,2.0,FVS FFE,2.0,FVS FFE
71,Thu_Pli,Thuja_plicata,1,0.889,FVS FFE,19.3,FVS FFE,2.0,FVS FFE,5.0,FVS FFE
72,Tor_Cal,Torreya_californica,1,0.635,FVS FFE,34.9,FVS FFE,4.0,FVS FFE,1.0,FVS FFE
73,Tsu_Can,Tsuga_canadensis,1,0.9905999999999999,FVS FFE,23.7,FVS FFE,4.0,FVS FFE,3.0,FVS FFE
74,Tsu_Het,Tsuga_heterophylla,1,4.953,FVS FFE,26.2,FVS FFE,4.0,FVS FFE,5.0,FVS FFE
75,Tsu_Mer,Tsuga_mertensiana,1,5.588,FVS FFE,26.2,FVS FFE,4.0,FVS FFE,4.0,FVS FFE
76,Tsu_Spp,Tsuga_spp.,1,1.0032999999999999,FVS FFE,24.95,FVS FFE,4.0,FVS FFE,3.5,FVS FFE
77,Ace_Bar,Acer_barbatum,1,0.7366,FVS FFE,34.9,FVS FFE,4.0,FVS FFE,1.0,FVS FFE
78,Ace_Gla,Acer_glabrum,1,1.016,FVS FFE,NA,NA,4.0,FVS FFE,1.0,FVS FFE
79,Ace_Mac,Acer_macrophyllum,1,0.6096,FVS FFE,27.4,FVS FFE,4.0,FVS FFE,1.0,FVS FFE
80,Ace_Neg,Acer_negundo,1,0.8636,FVS FFE,29.03333,FVS FFE,4.0,FVS FFE,1.0,FVS FFE
81,Ace_Nig,Acer_nigrum,1,0.889,FVS FFE,32.4,FVS FFE,4.0,FVS FFE,1.0,FVS FFE
82,Ace_Pen,Acer_pensylvanicum,1,1.1429999999999998,FVS FFE,30.6,FVS FFE,4.0,FVS FFE,1.0,FVS FFE
83,Ace_Rub,Acer_rubrum,1,0.7111999999999999,FVS FFE,30.6,FVS FFE,4.0,FVS FFE,1.0,FVS FFE
84,Ace_Sac2,Acer_saccharinum,1,0.7874,FVS FFE,27.4,FVS FFE,4.0,FVS FFE,1.0,FVS FFE
85,Ace_Sac3,Acer_saccharum,1,0.8382,FVS FFE,34.9,FVS FFE,4.0,FVS FFE,1.0,FVS FFE
86,Ace_Spp,Acer_spp.,1,NA,NA,30.6,FVS FFE,4.0,FVS FFE,1.0,FVS FFE
87,Aes_Cal,Aesculus_californica,1,0.9143999999999999,FVS FFE,37.4,FVS FFE,4.0,FVS FFE,1.0,FVS FFE
88,Aes_Gla,Aesculus_glabra,1,0.9143999999999999,FVS FFE,20.6,FVS FFE,4.0,FVS FFE,1.0,FVS FFE
89,Aes_Oct,Aesculus_octandra,1,1.27,FVS FFE,28.7,FVS FFE,4.0,FVS FFE,1.0,FVS FFE
90,Aes_Spp,Aesculus_spp.,1,0.9143999999999999,FVS FFE,31.8,FVS FFE,4.0,FVS FFE,1.0,FVS FFE
91,Ail_Alt,Ailanthus_altissima,1,1.27,FVS FFE,28.7,FVS FFE,4.0,FVS FFE,1.0,FVS FFE
92,Aln_Rho,Alnus_rhombifolia,1,1.5748,FVS FFE,23.1,FVS FFE,4.0,FVS FFE,1.0,FVS FFE
93,Aln_Rub,Alnus_rubra,1,0.6604,FVS FFE,23.1,FVS FFE,4.0,FVS FFE,1.0,FVS FFE
94,Ame_Spp,Amelanchier_spp.,1,1.27,FVS FFE,28.7,FVS FFE,4.0,FVS FFE,1.0,FVS FFE
95,Arb_Men,Arbutus_menziesii,1,1.5493999999999999,FVS FFE,36.2,FVS FFE,3.0,FVS FFE,1.0,FVS FFE
96,Bet_All,Betula_alleghaniensis,1,0.7874,FVS FFE,34.3,FVS FFE,4.0,FVS FFE,1.0,FVS FFE
97,Bet_Len,Betula_lenta,1,0.7619999999999999,FVS FFE,37.4,FVS FFE,4.0,FVS FFE,1.0,FVS FFE
98,Bet_Nig,Betula_nigra,1,0.7366,FVS FFE,30.25,FVS FFE,4.0,FVS FFE,1.0,FVS FFE
99,Bet_Occ,Betula_occidentalis,1,1.27,FVS FFE,29.9,FVS FFE,4.0,FVS FFE,1.0,FVS FFE
100,Bet_Pap,Betula_papyrifera,1,0.6858,FVS FFE,29.9,FVS FFE,4.0,FVS FFE,1.0,FVS FFE
101,Bet_Pop,Betula_populifolia,1,0.8382,FVS FFE,29.9,FVS FFE,4.0,FVS FFE,1.0,FVS FFE
102,Bet_Spp,Betula_spp.,1,0.8382,FVS FFE,34.3,FVS FFE,4.0,FVS FFE,1.0,FVS FFE
103,Car_Alb,Carya_alba,1,1.0921999999999998,FVS FFE,39.9,FVS FFE,4.0,FVS FFE,1.0,FVS FFE
104,Car_Aqu,Carya_aquatica,1,1.1176,FVS FFE,38.0,FVS FFE,4.0,FVS FFE,1.0,FVS FFE
105,Car_Car,Carpinus_caroliniana,1,0.7619999999999999,FVS FFE,32.61429,FVS FFE,3.571429,FVS FFE,1.0,FVS FFE
106,Car_Cor,Carya_cordiformis,1,0.9397999999999999,FVS FFE,37.4,FVS FFE,4.0,FVS FFE,1.0,FVS FFE
107,Car_Gla,Carya_glabra,1,0.9397999999999999,FVS FFE,41.2,FVS FFE,4.0,FVS FFE,1.0,FVS FFE
108,Car_Ill,Carya_illinoensis,1,0.9143999999999999,FVS FFE,37.4,FVS FFE,4.0,FVS FFE,1.0,FVS FFE
109,Car_Lac,Carya_laciniosa,1,1.0921999999999998,FVS FFE,38.7,FVS FFE,4.0,FVS FFE,1.0,FVS FFE
110,Car_Ova,Carya_ovata,1,1.016,FVS FFE,39.9,FVS FFE,4.0,FVS FFE,1.0,FVS FFE
111,Car_Spp,Carya_spp.,1,1.0837334179999998,FVS FFE,39.9,FVS FFE,4.0,FVS FFE,1.0,FVS FFE
112,Car_Tex,Carya_texana,1,1.016,FVS FFE,39.9,FVS FFE,4.0,FVS FFE,1.0,FVS FFE
113,Car_Tom,Carya_tomentosa,1,1.0921999999999998,FVS FFE,39.9,FVS FFE,4.0,FVS FFE,1.0,FVS FFE
114,Cas_Den,Castanea_dentata,1,NA,NA,28.7,FVS FFE,2.0,FVS FFE,1.0,FVS FFE
